algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
lantern,"Lantern(m=16, ef_construction=200, ef_search=10)",10,0.42300000000000004,0.5767,0.9989000000000001,0.0966457892031563,185.63811308861537,5.398069508373737,5.398069508373737,5.398069508373737,5.398069508373737,0.0,8016.205847978592,10.0,4006592.0,21582.80933445726,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=120)",10,0.9128000000000001,0.9932000000000001,0.9994999999999999,0.0946357692419596,55.89635259155909,18.531182780861855,18.531182780861855,18.531182780861855,18.531182780861855,0.0,9538.795815229416,10.0,4250896.0,76049.61330950828,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=20)",10,0.5684,0.7567,0.999,0.09580833044507261,160.1198528958676,6.435859017074108,6.435859017074108,6.435859017074108,6.435859017074108,0.0,8016.205847978592,10.0,4006592.0,25022.456163544244,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=10)",10,0.4795,0.6448,0.9994,0.09622397614536068,156.45506428181002,6.391611415892839,6.391611415892839,6.391611415892839,6.391611415892839,0.0,9538.795815229416,10.0,4250896.0,27170.076082313324,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=400)",10,0.9814,0.9987,0.9994999999999999,0.09450324675870196,24.24170770302249,41.25121980905533,41.25121980905533,41.25121980905533,41.25121980905533,0.0,9538.795815229416,10.0,4250896.0,175354.64300107834,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=200)",10,0.9523999999999999,0.9976,0.9994999999999999,0.09455545425885498,40.2675507041545,24.833891540765762,24.833891540765762,24.833891540765762,24.833891540765762,0.0,9538.795815229416,10.0,4250896.0,105566.29160862831,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=200)",10,0.9297000000000001,0.9951000000000001,0.9996,0.09461834892756503,53.61815935118214,18.909389153122902,18.909389153122902,18.909389153122902,18.909389153122902,0.0,8016.205847978592,10.0,4006592.0,74724.5345323788,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=40)",10,0.7031,0.8897999999999999,0.999,0.09527922857687698,127.66623197141725,7.832924835383892,7.832924835383892,7.832924835383892,7.832924835383892,0.0,8016.205847978592,10.0,4006592.0,31383.334011902396,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=40)",10,0.7571,0.9326000000000001,0.9994,0.09503395457714171,100.77064737373139,10.00191643834114,10.00191643834114,10.00191643834114,10.00191643834114,0.0,9538.795815229416,10.0,4250896.0,42183.87110518962,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=80)",10,0.8204,0.9644,0.999,0.09492981764308686,93.69503578292249,10.672924108803272,10.672924108803272,10.672924108803272,10.672924108803272,0.0,8016.205847978592,10.0,4006592.0,42762.05208227552,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=20)",10,0.6253,0.8185,0.9994,0.09549912851755071,131.17754052995073,7.681391667574644,7.681391667574644,7.681391667574644,7.681391667574644,0.0,9538.795815229416,10.0,4250896.0,32405.669315239422,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=120)",10,0.8760999999999999,0.985,0.999,0.09479434557123995,74.59138611605708,13.40637356042862,13.40637356042862,13.40637356042862,13.40637356042862,0.0,8016.205847978592,10.0,4006592.0,53713.86977265881,gist-960-euclidean
lantern,"Lantern(m=16, ef_construction=200, ef_search=400)",10,0.9683999999999999,0.9991,0.9996,0.09454043377396368,32.40302398269491,31.689107418060303,31.689107418060303,31.689107418060303,31.689107418060303,0.0,8016.205847978592,10.0,4006592.0,123648.70643368816,gist-960-euclidean
lantern,"Lantern(m=24, ef_construction=200, ef_search=80)",10,0.8684,0.9816,0.9994999999999999,0.09474288910388368,75.66270876316096,13.216550461947918,13.216550461947918,13.216550461947918,13.216550461947918,0.0,9538.795815229416,10.0,4250896.0,56182.18101741683,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=800)",10,0.9949999999999999,1.0,1.0,0.09444908536456813,26.881543974227075,37.20024600625038,37.20024600625038,37.20024600625038,37.20024600625038,0.0,7298.546877622604,10.0,7863632.0,292529.03060699673,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=10)",10,0.5075000000000001,0.6787,1.0,0.09609889573953705,826.8833940373844,1.2208385160192847,1.2208385160192847,1.2208385160192847,1.2208385160192847,0.0,7298.546877622604,10.0,7863632.0,9509.964835071383,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=120)",10,0.9578,0.9986,1.0,0.09451807176093562,80.02566435852918,12.495990842580795,12.495990842580795,12.495990842580795,12.495990842580795,0.0,11233.050072193146,10.0,7862944.0,98255.27926606913,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=20)",10,0.6557999999999999,0.8448,1.0,0.09537592242352513,581.5012542131044,1.724925939925015,1.724925939925015,1.724925939925015,1.724925939925015,0.0,7298.546877622604,10.0,7863632.0,13522.983730518648,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=10)",10,0.5894999999999999,0.7801,0.9992000000000001,0.09571888516020409,584.5795631915607,1.7106311861425638,1.7106311861425638,1.7106311861425638,1.7106311861425638,0.0,11233.050072193146,10.0,7862944.0,13450.596796561966,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=400)",10,0.994,1.0,1.0,0.09445131136066705,30.277244383148,33.09367597103119,33.09367597103119,33.09367597103119,33.09367597103119,0.0,11233.050072193146,10.0,7862944.0,259698.13832782066,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=200)",10,0.9795,0.9992000000000001,1.0,0.0944762089060612,53.45438723249996,18.70753802359104,18.70753802359104,18.70753802359104,18.70753802359104,0.0,11233.050072193146,10.0,7862944.0,147096.32655220813,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=200)",10,0.9551000000000001,0.9987999999999999,1.0,0.09453552189395936,87.07814175676144,13.156306929886341,13.156306929886341,13.156306929886341,13.156306929886341,0.0,7298.546877622604,10.0,7863632.0,90305.46405050502,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=40)",10,0.7833,0.9456,1.0,0.09494225964530169,384.6343391211018,2.7610985562205315,2.7610985562205315,2.7610985562205315,2.7610985562205315,0.0,7298.546877622604,10.0,7863632.0,20444.43566315108,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=40)",10,0.8471,0.9737,1.0,0.09478035323447472,215.17878296026552,4.811739083379507,4.811739083379507,4.811739083379507,4.811739083379507,0.0,11233.050072193146,10.0,7862944.0,36541.44656748967,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=80)",10,0.8791,0.9843999999999999,1.0,0.09470599395443953,191.3826903663451,5.225133150815964,5.225133150815964,5.225133150815964,5.225133150815964,0.0,7298.546877622604,10.0,7863632.0,41088.522608535925,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=20)",10,0.7283000000000001,0.9093,1.0,0.09509281521741259,397.3455000283699,2.516701351851225,2.516701351851225,2.516701351851225,2.516701351851225,0.0,11233.050072193146,10.0,7862944.0,19788.682643791355,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=120)",10,0.9180999999999999,0.9944000000000001,1.0,0.0946205292671969,134.38321932199787,7.441405206918716,7.441405206918716,7.441405206918716,7.441405206918716,0.0,7298.546877622604,10.0,7863632.0,58516.47281315549,gist-960-euclidean
pgvector,"PGVector(m=16, ef_construction=200, ef_search=400)",10,0.9853999999999999,0.9999,1.0,0.09447067661775221,48.56584984187081,20.71947418153286,20.71947418153286,20.71947418153286,20.71947418153286,0.0,7298.546877622604,10.0,7863632.0,161916.90304203035,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=800)",10,0.9970000000000001,1.0,1.0,0.09444557378726386,17.18079000837037,59.46303531527519,59.46303531527519,59.46303531527519,59.46303531527519,0.0,11233.050072193146,10.0,7862944.0,457659.0480512959,gist-960-euclidean
pgvector,"PGVector(m=24, ef_construction=200, ef_search=80)",10,0.9298,0.9946999999999999,1.0,0.09458134135349958,115.05448493848836,37.085168063640594,37.085168063640594,37.085168063640594,37.085168063640594,0.0,11233.050072193146,10.0,7862944.0,68341.04732382897,gist-960-euclidean
