algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
lantern,"Lantern(m=24, ef_construction=200, ef_search=400)",10,0.90757,0.9558899999999999,1.0,0.08925933174623886,19.250986244117467,53.338050842285156,69.95453834533691,75.10257005691528,82.60083127021808,0.0,11017.520236492157,10.0,1360808.0,70687.70309966964,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=20)",10,0.54072,0.59519,0.9112199999999999,0.09381956190677715,220.98548166338057,4.38237190246582,6.36916160583496,7.5384092330932635,9.46885132789613,0.0,6225.810818433762,10.0,1191712.0,5392.716259140015,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=200)",10,0.86484,0.9196500000000001,0.9998100000000001,0.08950460292896299,35.12571587494022,28.954625129699707,37.87770271301269,42.4260425567627,49.43324828147894,0.0,11017.520236492157,10.0,1360808.0,38741.07519530564,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=120)",10,0.82424,0.88217,0.9992699999999999,0.0898007261708359,53.15067142477609,18.939495086669922,25.57171583175659,29.558224678039554,35.90890169143681,0.0,11017.520236492157,10.0,1360808.0,25602.837434066012,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=80)",10,0.73953,0.80092,0.98924,0.0906922236361875,98.2732907482813,10.022282600402832,14.16926383972168,16.72249555587769,19.810234069824226,0.0,6225.810818433762,10.0,1191712.0,12126.509562526702,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=200)",10,0.8289099999999999,0.8857799999999999,0.9991300000000001,0.08981182023599507,48.89413401792532,21.094918251037598,27.317392826080322,31.251168251037605,37.915984153747665,0.0,6225.810818433762,10.0,1191712.0,24373.31233973999,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=10)",10,0.41784,0.46334,0.8151300000000001,0.09668526015896879,299.10734339241003,3.2111406326293945,4.588162899017333,5.355405807495118,6.941692352294949,0.0,6225.810818433762,10.0,1191712.0,3984.228492967987,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=10)",10,0.48122999999999994,0.53285,0.87721,0.09479480240143419,236.5405746949763,4.052877426147461,5.913829803466795,6.943249702453614,8.106076955795304,0.0,11017.520236492157,10.0,1360808.0,5752.958035866737,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=120)",10,0.7823100000000001,0.8417,0.99587,0.09023023729751486,73.82949084876122,13.445734977722168,18.33641529083252,21.79431915283203,24.93047833442688,0.0,6225.810818433762,10.0,1191712.0,16141.408890943145,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=80)",10,0.7862,0.84634,0.9968899999999999,0.09011923624584485,71.39276662890767,13.880610466003418,19.461870193481445,22.66671895980835,26.26848745346074,0.0,11017.520236492157,10.0,1360808.0,19060.86658713398,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=40)",10,0.70591,0.76795,0.98673,0.0909581097275868,113.50405086188982,8.538007736206055,12.596213817596434,14.68563318252564,17.49476099014284,0.0,11017.520236492157,10.0,1360808.0,11989.06990249901,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=400)",10,0.8772500000000001,0.92957,0.9999399999999999,0.08946402376743291,26.974758594534293,37.92464733123779,47.947692871093736,53.000242710113525,61.655306100845436,0.0,6225.810818433762,10.0,1191712.0,44178.78276180267,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=40)",10,0.6497200000000001,0.70985,0.96527,0.09192251019067801,151.34281174866527,6.37507438659668,9.38183069229126,11.133241653442385,12.861808538436906,0.0,6225.810818433762,10.0,1191712.0,7874.255712779236,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=20)",10,0.60457,0.6644599999999999,0.9556800000000001,0.09236289584801831,169.2217705450034,5.705714225769043,8.511316776275635,9.919912815093996,11.557367086410624,0.0,11017.520236492157,10.0,1360808.0,8041.565784457397,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=400)",10,0.92189,0.96638,1.0,0.0891931153598586,34.70643621238778,29.83391284942627,38.61275911331176,41.27027750015259,46.254437208175666,0.0,9979.269327402115,10.0,1578032.0,45467.99303573418,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=20)",10,0.53985,0.59297,0.89756,0.09421012594755841,479.14905639723986,1.9687414169311523,3.0520200729370113,3.6753129959106463,4.424334764480591,0.0,6197.599109888077,10.0,1352608.0,2822.937835191345,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=200)",10,0.8812599999999999,0.9333899999999999,0.99979,0.08942193504669173,63.386845720973,16.206026077270508,20.823323726654046,23.637351989746094,28.48498034477237,0.0,9979.269327402115,10.0,1578032.0,24895.25992421913,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=120)",10,0.84314,0.89904,0.99853,0.08969050441731137,94.88777579412954,10.702967643737793,14.224159717559814,16.914398670196533,19.77913808822635,0.0,9979.269327402115,10.0,1578032.0,16630.508901628495,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=80)",10,0.74788,0.80654,0.9863799999999999,0.09071794699140508,180.0908588280684,5.401492118835449,7.904028892517086,9.487919807434082,11.025669574737549,0.0,6197.599109888077,10.0,1352608.0,7510.697704492188,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=800)",10,0.9234199999999999,0.9671799999999999,0.9999399999999999,0.08921177613149059,27.02340597059393,38.29526901245117,48.90472888946533,51.870908737182624,56.31160449981694,0.0,6197.599109888077,10.0,1352608.0,50053.2020823677,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=200)",10,0.8409700000000001,0.8959699999999999,0.9980100000000001,0.08975235844039214,89.09144472854074,11.473417282104492,15.14301300048828,18.006713390350345,21.04650664329531,0.0,6197.599109888077,10.0,1352608.0,15182.24341429596,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=800)",10,0.95164,0.9854100000000001,1.0,0.08905519659902515,18.269914715546204,56.91850185394287,75.99550485610962,80.37914037704468,86.07600140571603,0.0,9979.269327402115,10.0,1578032.0,86373.25486020051,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=10)",10,0.42248,0.46654999999999996,0.8062799999999999,0.09696997907970575,702.4140828471693,1.3519525527954102,2.038240432739258,2.447366714477539,2.9175293445587163,0.0,6197.599109888077,10.0,1352608.0,1925.6561521621704,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=10)",10,0.5255099999999999,0.5781,0.89983,0.09408951565396542,517.2537371155316,1.8362998962402344,2.8179526329040514,3.3428907394409184,4.229549407958985,0.0,9979.269327402115,10.0,1578032.0,3050.788977958679,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=120)",10,0.79235,0.84941,0.99344,0.09022830336368393,132.93776112124195,7.5064897537231445,10.446155071258543,12.356784343719482,14.704234123229982,0.0,6197.599109888077,10.0,1352608.0,10174.746351914217,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=80)",10,0.80615,0.86445,0.9964700000000001,0.08998991456049016,129.68038118791765,7.7075958251953125,10.638988018035883,12.785825729370126,15.198536634445203,0.0,9979.269327402115,10.0,1578032.0,12168.625551102448,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=40)",10,0.73041,0.79108,0.98673,0.09076960763754294,215.20296822706655,4.555940628051758,6.824052333831786,8.760116100311281,13.869367361068742,0.0,9979.269327402115,10.0,1578032.0,7332.761313658904,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=400)",10,0.88788,0.9389,0.99961,0.08940727517976214,49.98281432010424,20.81120014190674,26.57041549682617,29.68436717987061,35.37606716156021,0.0,6197.599109888077,10.0,1352608.0,27061.46139225998,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=40)",10,0.65278,0.7105400000000001,0.9563499999999999,0.09209813057111275,300.2484329173533,3.2182931900024414,4.988741874694823,6.060848236083984,7.366222620010385,0.0,6197.599109888077,10.0,1352608.0,4504.962729888153,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=20)",10,0.63642,0.6964,0.9607100000000001,0.09201828914474405,338.36957602589905,2.808094024658203,4.35429811477661,5.225183963775636,6.762539386749275,0.0,9979.269327402115,10.0,1578032.0,4663.6344157585145,glove-200-angular
