algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
lantern,"Lantern(m=16, ef_construction=200, ef_search=200)",10,0.82691,0.88379,0.9985099999999999,0.08982700905444022,71.59326179193212,14.148436486721039,14.148436486721039,14.148436486721039,14.148436486721039,0.0,5218.460759162903,10.0,1191712.0,16645.58884694222,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=80)",10,0.7874399999999999,0.84838,0.99703,0.0901094668144556,75.80830827576372,13.261709362268448,13.261709362268448,13.261709362268448,13.261709362268448,0.0,7486.911924600601,10.0,1360808.0,17950.64460546809,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=40)",10,0.64228,0.7018099999999999,0.96286,0.09203101071193907,211.31548370544863,4.960385151207447,4.960385151207447,4.960385151207447,4.960385151207447,0.0,5218.460759162903,10.0,1191712.0,5639.492095435468,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=20)",10,0.60592,0.66615,0.95563,0.09235260954861144,190.4670114247981,5.538484547287226,5.538484547287226,5.538484547287226,5.538484547287226,0.0,7486.911924600601,10.0,1360808.0,7144.586297755222,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=400)",10,0.90685,0.9555300000000001,0.9999800000000001,0.08926311801339414,21.551394171292365,46.40071094036102,46.40071094036102,46.40071094036102,46.40071094036102,0.0,7486.911924600601,10.0,1360808.0,63142.45793957361,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=40)",10,0.70677,0.76959,0.9869199999999999,0.09096393241195755,115.66055395122385,8.662008680403233,8.662008680403233,8.662008680403233,8.662008680403233,0.0,7486.911924600601,10.0,1360808.0,11765.532443964235,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=120)",10,0.7789200000000001,0.83869,0.9942500000000001,0.0902687627477687,104.71136351286214,9.600246325135231,9.600246325135231,9.600246325135231,9.600246325135231,0.0,5218.460759162903,10.0,1191712.0,11380.92333076741,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=200)",10,0.86442,0.9196,0.99983,0.08950802705350268,38.04514450338762,26.284562423825264,26.284562423825264,26.284562423825264,26.284562423825264,0.0,7486.911924600601,10.0,1360808.0,35768.24369477243,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=120)",10,0.8245799999999999,0.88324,0.9989800000000001,0.08979476006768185,56.917261597212466,17.76311732828617,17.76311732828617,17.76311732828617,17.76311732828617,0.0,7486.911924600601,10.0,1360808.0,23908.529008827893,glove-200-angular
lantern,"Lantern(m=24, ef_construction=200, ef_search=10)",10,0.48434,0.53571,0.87965,0.09470650051010576,264.2340300737923,3.7845238111913204,3.7845238111913204,3.7845238111913204,3.7845238111913204,0.0,7486.911924600601,10.0,1360808.0,5150.010388972112,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=10)",10,0.40618,0.45075000000000004,0.80299,0.09720002210338548,397.5105135283664,2.554029691964388,2.554029691964388,2.554029691964388,2.554029691964388,0.0,5218.460759162903,10.0,1191712.0,2997.9383172087078,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=20)",10,0.52979,0.58314,0.90298,0.09418434629761727,303.78091685629374,3.565378487110138,3.565378487110138,3.565378487110138,3.565378487110138,0.0,5218.460759162903,10.0,1191712.0,3922.932395927128,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=400)",10,0.87682,0.9295199999999999,0.9999100000000001,0.08945938740248512,40.45376127584921,25.53963102400303,25.53963102400303,25.53963102400303,25.53963102400303,0.0,5218.460759162903,10.0,1191712.0,29458.620469771966,glove-200-angular
lantern,"Lantern(m=16, ef_construction=200, ef_search=80)",10,0.73515,0.79658,0.9878199999999999,0.09075119109990272,138.30909332734174,7.230182643979788,7.230182643979788,7.230182643979788,7.230182643979788,0.0,5218.460759162903,10.0,1191712.0,8616.295366635995,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=200)",10,0.84293,0.89788,0.9985900000000001,0.0897215680576113,97.51905601400851,10.254406370222569,10.254406370222569,10.254406370222569,10.254406370222569,0.0,5819.392551660538,10.0,1352608.0,13870.191686491502,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=800)",10,0.92369,0.96756,0.99996,0.08920920626233231,33.32166584906288,30.230429023504257,30.230429023504257,30.230429023504257,30.230429023504257,0.0,5819.392551660538,10.0,1352608.0,40592.44835257959,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=80)",10,0.8058,0.8640800000000001,0.9967599999999999,0.08998357633924327,157.931398345548,6.8660918623209,6.8660918623209,6.8660918623209,6.8660918623209,0.0,8187.675847053528,10.0,1578032.0,9991.8826562108,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=40)",10,0.6672399999999999,0.72648,0.96488,0.09178235612491913,408.2798645368015,2.9483006801456213,2.9483006801456213,2.9483006801456213,2.9483006801456213,0.0,5819.392551660538,10.0,1352608.0,3312.9431977610516,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=20)",10,0.6296700000000001,0.6883,0.95519,0.09221264289086638,458.1864740374228,2.5388512294739485,2.5388512294739485,2.5388512294739485,2.5388512294739485,0.0,8187.675847053528,10.0,1578032.0,3444.082462964878,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=400)",10,0.92135,0.96585,1.0,0.08919457686780562,42.64011271691474,23.452095687389374,23.452095687389374,23.452095687389374,23.452095687389374,0.0,8187.675847053528,10.0,1578032.0,37008.15733008174,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=40)",10,0.72796,0.78858,0.9852299999999999,0.09082827270040487,291.4312971331548,3.9944457821547985,3.9944457821547985,3.9944457821547985,3.9944457821547985,0.0,8187.675847053528,10.0,1578032.0,5414.765042475853,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=120)",10,0.79611,0.8533799999999999,0.9948,0.0901526958628732,149.76391005923898,7.698448840528727,7.698448840528727,7.698448840528727,7.698448840528727,0.0,5819.392551660538,10.0,1352608.0,9031.60180222977,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=200)",10,0.8806800000000001,0.93272,0.9998100000000001,0.08942190393172599,76.52408750765188,13.666577637195587,13.666577637195587,13.666577637195587,13.666577637195587,0.0,8187.675847053528,10.0,1578032.0,20621.376241071906,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=800)",10,0.95138,0.98493,1.0,0.08905917451407264,22.771556193611417,44.35614123940468,44.35614123940468,44.35614123940468,44.35614123940468,0.0,8187.675847053528,10.0,1578032.0,69298.38200705485,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=120)",10,0.8425100000000001,0.89842,0.9989000000000001,0.08968575021338528,122.06169553234129,8.40012077242136,8.40012077242136,8.40012077242136,8.40012077242136,0.0,8187.675847053528,10.0,1578032.0,12928.15074473455,glove-200-angular
pgvector,"PGVector(m=24, ef_construction=200, ef_search=10)",10,0.52092,0.57265,0.89587,0.09418313949101076,608.4814483186376,1.6509827692061663,1.6509827692061663,1.6509827692061663,1.6509827692061663,0.0,8187.675847053528,10.0,1578032.0,2593.3937745521,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=10)",10,0.44549000000000005,0.49165000000000003,0.83622,0.0961034873131018,879.443106702746,1.1669622035697103,1.1669622035697103,1.1669622035697103,1.1669622035697103,0.0,5819.392551660538,10.0,1352608.0,1538.0278606893269,glove-200-angular
pgvector,"PGVector(m=16, ef_construction=200, ef_search=20)",10,0.56392,0.61927,0.91927,0.09350046423374907,612.1515148791129,1.660495181567967,1.660495181567967,1.660495181567967,1.660495181567967,0.0,5819.392551660538,10.0,1352608.0,2209.5967536192597,glove-200-angular
